Year,Month,Day,Open,High,Low,Close,Volume,Adj Close
2002,2,11,110.05,111.64,109.82,111.44000244140625,18792400,75.7185287475586
2002,2,12,110.96,111.71,110.03,111.08999633789062,13942500,75.48074340820312
2002,2,13,111.48,112.54,111.35,112.2699966430664,16781100,76.282470703125
2002,2,14,112.51,112.97,111.59,112.05999755859375,20453800,76.13982391357422
2002,2,15,112.15,112.24,110.71,110.88999938964844,18366800,75.34483337402344
2002,2,19,110.15,110.29,108.61,108.76000213623047,15988100,73.8975830078125
2002,2,20,109.05,110.59,107.82,110.58999633789062,29242800,75.14098358154297
2002,2,21,109.93,110.63,108.26,108.30000305175781,26288600,73.58506774902344
2002,2,22,108.35,109.94,107.87,109.63999938964844,26572900,74.49549102783203
2002,2,25,109.74,111.81,109.7,111.44999694824219,17458700,75.72533416748047
2002,2,26,111.6,112.04,110.57,111.22000122070312,22346500,75.56908416748047
2002,2,27,111.96,112.86,110.65,111.6500015258789,28597900,75.8612289428711
2002,2,28,111.83,112.75,111.03,111.1500015258789,23755400,75.52152252197266
2002,3,1,111.72,113.85,111.51,113.73999786376953,26273600,77.28128814697266
2002,3,4,113.9,115.99,113.65,115.75,27184600,78.64696502685547
2002,3,5,115.33,116.4,114.97,115.37999725341797,22718900,78.39559936523438
2002,3,6,115.1,117.15,115.07,116.75,20143200,79.32646942138672
2002,3,7,117.36,117.5,115.57,116.5,19330800,79.15660858154297
2002,3,8,117.38,117.9,116.48,116.98999786376953,19930100,79.48949432373047
2002,3,11,116.89,117.9,116.43,117.23999786376953,15621800,79.65938568115234
2002,3,12,116.1,117.25,115.94,117.16999816894531,17153600,79.61181640625
2002,3,13,116.63,116.75,115.64,116.04000091552734,17175300,78.84404754638672
2002,3,14,116.04,116.43,115.63,115.87999725341797,11168100,78.73531341552734
2002,3,15,115.97,116.95,115.9,116.6500015258789,21220100,79.48552703857422
2002,3,18,117.1,117.56,116.1,116.66999816894531,17548900,79.49918365478516
2002,3,19,117.3,117.74,116.82,117.44999694824219,17912000,80.0306625366211
2002,3,20,116.5,116.58,115.19,115.23999786376953,17114500,78.52473449707031
2002,3,21,115.3,115.9,114.12,115.29000091552734,25846800,78.55887603759766
2002,3,22,115.5,115.94,114.7,115.04000091552734,15235400,78.38847351074219
2002,3,25,115.09,115.36,113.3,113.61000061035156,17499600,77.41407012939453
2002,3,26,113.52,115.02,113.47,114.2699966430664,19947600,77.86384582519531
2002,3,27,114.03,115.01,113.76,114.56999969482422,19020300,78.06822204589844
2002,3,28,114.97,115.77,114.5,114.5199966430664,17532900,78.03413391113281
2002,4,1,114.23,115.1,113.5,114.56999969482422,17711000,78.06822204589844
2002,4,2,113.98,114.95,113.77,113.94000244140625,15669500,77.63892364501953
2002,4,3,114.01,114.21,112.16,113.13999938964844,25658500,77.09384155273438
2002,4,4,112.6,113.4,112.23,112.66999816894531,23549000,76.7735595703125
2002,4,5,113.19,113.63,112.18,112.69000244140625,19404900,76.7872085571289
2002,4,8,111.32,113.03,111.23,112.93000030517578,16470100,76.95072174072266
2002,4,9,113.18,113.18,111.93,112.13999938964844,15122700,76.41242218017578
2002,4,10,112.1,113.54,112.09,113.41000366210938,17199300,77.27780151367188
2002,4,11,112.89,113.05,110.5,110.58999633789062,25453700,75.35623931884766
2002,4,12,111.02,111.65,110.04,111.41999816894531,14950600,75.92179107666016
2002,4,15,111.62,111.86,110.2,110.56999969482422,17394900,75.34263610839844
2002,4,16,111.7,113.32,111.67,113.19999694824219,15040900,77.13470458984375
2002,4,17,113.39,113.67,112.6,112.95999908447266,12920100,76.97113800048828
2002,4,18,112.9,113.46,111.15,112.47000122070312,25204800,76.6373062133789
2002,4,19,113.2,113.24,112.56,112.87999725341797,10499200,76.9166259765625
2002,4,22,112.38,112.43,110.84,111.0,13922900,75.63562774658203
2002,4,23,111.09,111.48,110.17,110.5199966430664,16967000,75.30858612060547
2002,4,24,110.56,111.81,109.4,109.41000366210938,18902700,74.55218505859375
2002,4,25,109.21,109.74,108.72,109.47000122070312,25451500,74.59307098388672
2002,4,26,109.79,110.01,107.29,107.38999938964844,19769800,73.17578125
2002,4,29,107.93,108.26,106.63,106.86000061035156,17724400,72.81462097167969
2002,4,30,107.02,108.64,106.64,107.86000061035156,19473500,73.49600982666016
2002,5,1,107.97,109.25,106.8,109.18000030517578,24575600,74.39547729492188
2002,5,2,109.1,109.91,107.78,108.76000213623047,15666800,74.1092758178711
2002,5,3,108.6,108.76,107.2,107.58000183105469,18185500,73.30520629882812
2002,5,6,107.64,107.99,105.31,105.47000122070312,23630400,71.86747741699219
2002,5,7,106.1,106.32,104.9,105.0999984741211,21910000,71.61536407470703
2002,5,8,107.05,109.36,106.79,109.01000213623047,27917400,74.27962493896484
2002,5,9,108.65,109.1,107.58,107.75,18085600,73.42106628417969
2002,5,10,107.97,108.05,105.6,105.72000122070312,18958900,72.0378189086914
2002,5,13,106.22,107.95,105.79,107.87000274658203,14677700,73.50281524658203
2002,5,14,109.62,110.37,109.0,110.22000122070312,34201200,75.10413360595703
2002,5,15,109.5,110.91,109.29,109.79000091552734,29535300,74.8111343383789
2002,5,16,109.7,110.48,109.33,110.36000061035156,28092000,75.19954681396484
2002,5,17,110.66,111.25,110.1,110.9000015258789,27823700,75.5674819946289
2002,5,20,110.64,110.69,109.49,109.69999694824219,13833800,74.74981689453125
2002,5,21,110.11,110.48,108.32,108.69999694824219,16877200,74.06841278076172
2002,5,22,108.22,109.12,108.0,108.94000244140625,15844200,74.23194122314453
2002,5,23,109.26,110.36,108.48,110.0999984741211,13879800,75.02237701416016
2002,5,24,109.98,110.2,108.61,108.69000244140625,11877000,74.06161499023438
2002,5,28,109.05,109.13,107.45,108.0999984741211,24236900,73.6595687866211
2002,5,29,107.62,108.02,107.13,107.30000305175781,14773300,73.11444091796875
2002,5,30,106.55,107.51,105.9,107.0,18217900,72.91004180908203
2002,5,31,107.4,108.56,106.85,107.22000122070312,19826300,73.05989837646484
2002,6,3,107.09,107.6,104.13,104.37000274658203,26056300,71.11792755126953
2002,6,4,104.15,105.2,103.55,104.62999725341797,25856200,71.29505920410156
2002,6,5,104.95,105.67,104.35,105.61000061035156,19695900,71.9628677368164
2002,6,6,105.54,105.6,103.15,103.45999908447266,22998500,70.49787902832031
2002,6,7,101.78,103.92,101.72,103.33999633789062,24011600,70.41610717773438
2002,6,10,103.24,104.46,103.02,103.73999786376953,18759900,70.68865203857422
2002,6,11,104.13,104.54,101.73,101.95999908447266,19990700,69.47573852539062
2002,6,12,101.71,102.81,100.78,102.58000183105469,31266000,69.89820098876953
2002,6,13,102.13,103.0,101.34,101.55000305175781,21043900,69.19640350341797
2002,6,14,100.31,101.56,98.5,101.4000015258789,39267500,69.09417724609375
2002,6,17,101.92,104.34,101.85,104.12000274658203,17647200,70.94759368896484
2002,6,18,103.74,105.03,103.63,104.97000122070312,21628500,71.52677917480469
2002,6,19,103.5,104.43,102.24,102.5199966430664,21540700,69.85731506347656
2002,6,20,102.26,103.05,100.96,101.20999908447266,25691000,68.96467590332031
2002,6,21,100.47,100.93,98.68,99.27999877929688,31190700,67.88634490966797
2002,6,24,98.61,100.69,97.25,99.80000305175781,37169700,68.2419662475586
2002,6,25,100.3,100.89,97.54,97.55999755859375,33355000,66.71024322509766
2002,6,26,95.2,98.15,95.19,97.72000122070312,37913600,66.81969451904297
2002,6,27,98.5,99.49,96.57,99.43000030517578,31616400,67.98894500732422
2002,6,28,99.24,100.5,98.88,98.95999908447266,28184200,67.66754150390625
2002,7,1,99.18,99.8,96.89,97.02999877929688,20270200,66.3478775024414
2002,7,2,96.86,97.2,94.77,94.97000122070312,34213900,64.93924713134766
2002,7,3,94.62,95.84,93.72,95.51000213623047,30565800,65.30850219726562
2002,7,5,96.78,99.53,96.66,99.30999755859375,19013500,67.90689086914062
2002,7,8,98.98,99.7,97.56,98.06999969482422,19118600,67.05896759033203
2002,7,9,97.73,98.34,95.01,95.5999984741211,28620400,65.37006378173828
2002,7,10,96.0,96.07,92.04,92.12000274658203,50522500,62.99047088623047
2002,7,11,91.76,93.35,90.32,92.87000274658203,59476500,63.5033073425293
2002,7,12,93.33,93.89,91.52,91.8499984741211,39018600,62.80584716796875
2002,7,15,91.64,92.4,87.89,92.33999633789062,77317200,63.14089584350586
2002,7,16,91.12,92.38,89.87,90.55999755859375,53282400,61.92375946044922
2002,7,17,92.46,93.3,89.75,90.73999786376953,48880600,62.04682922363281
2002,7,18,90.7,91.1,87.75,87.80000305175781,32656700,60.0364875793457
2002,7,19,86.76,87.55,84.3,84.70999908447266,77572600,57.92361831665039
2002,7,22,84.1,85.91,81.45,82.19999694824219,78134000,56.20728302001953
2002,7,23,82.55,83.24,79.75,79.94999694824219,74484100,54.66876983642578
2002,7,24,78.13,85.12,77.68,84.72000122070312,107022800,57.93043518066406
2002,7,25,84.27,85.85,81.6,84.0,87176600,57.43809127807617
2002,7,26,84.65,85.93,83.8,85.5999984741211,41206800,58.53217315673828
2002,7,29,87.5,90.34,87.3,89.7699966430664,53492900,61.38353729248047
2002,7,30,89.32,91.4,88.72,90.94000244140625,47532200,62.18356704711914
2002,7,31,90.49,91.55,89.25,91.16000366210938,44669900,62.33403015136719
2002,8,1,90.88,91.35,88.33,88.77999877929688,66571900,60.706607818603516
2002,8,2,88.5,88.91,85.62,86.79000091552734,51772900,59.34585189819336
2002,8,5,86.49,86.93,83.55,83.7699966430664,47191300,57.28083038330078
2002,8,6,85.23,87.9,85.11,86.58999633789062,64730000,59.20914840698242
2002,8,7,87.87,88.5,85.77,88.0999984741211,43289400,60.241641998291016
2002,8,8,88.42,91.1,87.8,90.94999694824219,48339800,62.19041442871094
2002,8,9,90.1,91.94,89.35,91.29000091552734,41879200,62.422889709472656
2002,8,12,89.99,91.27,89.55,90.62000274658203,25841700,61.96477508544922
2002,8,13,90.15,91.66,88.65,88.97000122070312,49690500,60.836517333984375
2002,8,14,89.02,92.63,88.02,92.22000122070312,57423600,63.058834075927734
2002,8,15,92.84,93.99,92.2,93.5,45551500,63.93405532836914
2002,8,16,92.82,94.08,92.0,93.22000122070312,36517300,63.74261474609375
2002,8,19,93.46,95.75,93.1,95.4000015258789,33669900,65.23326110839844
